"日期","收市","開市","高","低","成交量","更改%"
"2021年5月7日","599.00","594.00","600.00","589.00","28.72M","2.04%"
"2021年5月6日","587.00","590.00","590.00","580.00","33.17M","0.34%"
"2021年5月5日","585.00","594.00","594.00","585.00","31.79M","-1.02%"
"2021年5月4日","591.00","588.00","594.00","582.00","41.87M","0.51%"
"2021年5月3日","588.00","595.00","597.00","588.00","46.80M","-2.00%"
"2021年4月29日","600.00","609.00","609.00","600.00","35.76M","-0.33%"
"2021年4月28日","602.00","606.00","608.00","601.00","24.60M","-1.31%"
"2021年4月27日","610.00","608.00","611.00","605.00","26.76M","0.00%"
"2021年4月26日","610.00","605.00","610.00","603.00","32.43M","1.33%"
"2021年4月23日","602.00","592.00","602.00","590.00","29.00M","1.86%"
"2021年4月22日","591.00","596.00","598.00","591.00","35.44M","-0.17%"
"2021年4月21日","592.00","599.00","599.00","592.00","40.83M","-1.66%"
"2021年4月20日","602.00","598.00","602.00","595.00","35.98M","-0.17%"
"2021年4月19日","603.00","605.00","607.00","601.00","25.06M","-1.15%"
"2021年4月16日","610.00","610.00","611.00","603.00","49.95M","-1.45%"
"2021年4月15日","619.00","612.00","619.00","607.00","34.48M","1.14%"
"2021年4月14日","612.00","608.00","612.00","600.00","30.98M","1.16%"
"2021年4月13日","605.00","604.00","613.00","604.00","26.58M","0.00%"
"2021年4月12日","605.00","612.00","613.00","603.00","23.22M","-0.82%"
"2021年4月9日","610.00","618.00","618.00","609.00","31.60M","-0.49%"
"2021年4月8日","613.00","606.00","613.00","603.00","24.68M","0.49%"
"2021年4月7日","610.00","614.00","614.00","608.00","25.21M","0.00%"
"2021年4月6日","610.00","615.00","616.00","608.00","37.52M","1.33%"
"2021年4月1日","602.00","598.00","602.00","594.00","45.97M","2.56%"
"2021年3月31日","587.00","596.00","597.00","587.00","40.40M","-1.68%"
"2021年3月30日","597.00","600.00","600.00","592.00","34.02M","-0.33%"
"2021年3月29日","599.00","599.00","602.00","596.00","38.60M","1.53%"
"2021年3月26日","590.00","582.00","592.00","580.00","37.94M","2.61%"
"2021年3月25日","575.00","572.00","581.00","570.00","70.71M","-0.17%"
"2021年3月24日","576.00","571.00","582.00","571.00","114.24M","-3.03%"
"2021年3月23日","594.00","597.00","603.00","593.00","30.07M","0.17%"
"2021年3月22日","593.00","588.00","598.00","586.00","35.21M","0.34%"
"2021年3月19日","591.00","594.00","598.00","591.00","74.96M","-1.83%"
"2021年3月18日","602.00","606.00","609.00","602.00","29.93M","-0.33%"
"2021年3月17日","604.00","612.00","612.00","602.00","41.04M","-1.47%"
"2021年3月16日","613.00","610.00","613.00","607.00","37.59M","0.33%"
"2021年3月15日","611.00","614.00","614.00","609.00","27.76M","-0.49%"
"2021年3月12日","614.00","615.00","618.00","609.00","33.88M","0.82%"
"2021年3月11日","609.00","596.00","612.00","595.00","55.11M","2.01%"
"2021年3月10日","597.00","601.00","601.00","593.00","41.20M","0.34%"
"2021年3月9日","595.00","585.00","595.00","585.00","71.36M","-0.50%"
"2021年3月8日","598.00","608.00","610.00","598.00","45.33M","-0.50%"
"2021年3月5日","601.00","588.00","605.00","584.00","85.58M","0.00%"
"2021年3月4日","601.00","609.00","611.00","601.00","71.32M","-3.38%"
"2021年3月3日","622.00","609.00","622.00","601.00","49.35M","2.13%"
"2021年3月2日","609.00","621.00","622.00","609.00","55.44M","0.50%"
"2021年2月26日","606.00","611.00","618.00","606.00","137.93M","-4.57%"
"2021年2月25日","635.00","636.00","636.00","628.00","43.99M","1.60%"
"2021年2月24日","625.00","627.00","636.00","625.00","69.68M","-2.50%"
"2021年2月23日","641.00","641.00","643.00","633.00","51.64M","-1.38%"
"2021年2月22日","650.00","660.00","662.00","650.00","37.30M","-0.31%"
"2021年2月19日","652.00","656.00","657.00","647.00","51.65M","-1.21%"
"2021年2月18日","660.00","664.00","665.00","656.00","53.87M","-0.45%"
"2021年2月17日","663.00","663.00","668.00","660.00","109.49M","4.91%"
"2021年2月5日","632.00","638.00","641.00","631.00","57.35M","0.80%"
"2021年2月4日","627.00","626.00","632.00","620.00","47.01M","-0.48%"
"2021年2月3日","630.00","638.00","642.00","630.00","49.63M","-0.32%"
"2021年2月2日","632.00","629.00","638.00","622.00","79.98M","3.44%"
"2021年2月1日","611.00","595.00","612.00","587.00","68.88M","3.38%"
"2021年1月29日","591.00","619.00","619.00","591.00","96.88M","-1.66%"
"2021年1月28日","601.00","600.00","608.00","598.00","100.00M","-2.28%"
"2021年1月27日","615.00","618.00","625.00","611.00","61.49M","-0.32%"
"2021年1月26日","617.00","632.00","640.00","610.00","104.36M","-2.53%"
"2021年1月25日","633.00","642.00","646.00","626.00","96.64M","-2.47%"
"2021年1月22日","649.00","649.00","665.00","649.00","134.24M","-3.57%"
"2021年1月21日","673.00","640.00","679.00","640.00","91.91M","4.02%"
"2021年1月20日","647.00","633.00","650.00","631.00","84.45M","3.19%"
"2021年1月19日","627.00","618.00","632.00","613.00","51.68M","3.29%"
"2021年1月18日","607.00","608.00","608.00","594.00","46.62M","1.00%"
"2021年1月15日","601.00","621.00","625.00","601.00","101.00M","1.52%"
"2021年1月14日","592.00","587.00","597.00","587.00","78.29M","-2.15%"
"2021年1月13日","605.00","595.00","605.00","593.00","63.96M","2.37%"
"2021年1月12日","591.00","583.00","597.00","582.00","51.49M","1.20%"
"2021年1月11日","584.00","577.00","584.00","574.00","49.82M","0.69%"
"2021年1月8日","580.00","580.00","580.00","571.00","62.96M","2.65%"
"2021年1月7日","565.00","554.00","570.00","553.00","51.94M","2.91%"
"2021年1月6日","549.00","555.00","555.00","541.00","54.12M","1.29%"
"2021年1月5日","542.00","536.00","542.00","535.00","34.84M","1.12%"
"2021年1月4日","536.00","530.00","540.00","528.00","39.31M","1.13%"
"2020年12月31日","530.00","526.00","530.00","524.00","31.17M","0.95%"
"2020年12月30日","525.00","516.00","525.00","514.00","46.71M","1.94%"
"2020年12月29日","515.00","515.00","517.00","513.00","20.15M","0.00%"
"2020年12月28日","515.00","512.00","515.00","509.00","19.26M","0.78%"
"2020年12月25日","511.00","514.00","515.00","510.00","12.58M","0.20%"
"2020年12月24日","510.00","511.00","512.00","508.00","15.10M","0.20%"
"2020年12月23日","509.00","508.00","511.00","506.00","18.32M","0.00%"
"2020年12月22日","509.00","512.00","516.00","509.00","22.85M","-1.36%"
"2020年12月21日","516.00","512.00","517.00","508.00","35.05M","1.18%"
"2020年12月18日","510.00","508.00","512.00","507.00","40.63M","0.39%"
"2020年12月17日","508.00","515.00","515.00","508.00","38.71M","-0.78%"
"2020年12月16日","512.00","509.00","515.00","507.00","52.27M","1.59%"
"2020年12月15日","504.00","507.00","510.00","504.00","40.84M","-0.79%"
"2020年12月14日","508.00","512.00","513.00","508.00","30.81M","-1.55%"
"2020年12月11日","516.00","517.00","517.00","505.00","51.30M","0.78%"
"2020年12月10日","512.00","511.00","515.00","510.00","43.51M","-1.54%"
"2020年12月9日","520.00","521.00","524.00","520.00","43.87M","-0.76%"
"2020年12月8日","524.00","514.00","525.00","509.00","41.29M","1.95%"
"2020年12月7日","514.00","512.00","515.00","506.00","44.74M","2.19%"
"2020年12月4日","503.00","498.50","505.00","497.50","54.47M","1.21%"
"2020年12月3日","497.00","499.50","499.50","495.00","35.96M","-0.40%"
"2020年12月2日","499.00","499.50","500.00","493.50","50.95M","1.84%"
"2020年12月1日","490.00","489.50","490.00","483.50","37.35M","1.98%"
"2020年11月30日","480.50","493.00","493.50","480.50","149.31M","-1.74%"
"2020年11月27日","489.00","487.50","492.00","486.50","35.20M","0.00%"
"2020年11月26日","489.00","489.00","493.50","488.00","31.84M","0.41%"
"2020年11月25日","487.00","495.00","495.50","487.00","42.07M","-1.02%"
"2020年11月24日","492.00","499.50","500.00","491.50","36.13M","-0.91%"
"2020年11月23日","496.50","494.50","498.50","492.00","38.37M","1.74%"
"2020年11月20日","488.00","486.00","490.00","486.00","35.24M","-0.41%"
"2020年11月19日","490.00","499.00","499.00","490.00","44.87M","-1.41%"
"2020年11月18日","497.00","490.00","497.00","486.50","50.88M","2.37%"
"2020年11月17日","485.50","502.00","506.00","485.50","73.54M","0.31%"
"2020年11月16日","484.00","470.00","484.50","469.00","82.79M","4.76%"
"2020年11月13日","462.00","459.00","462.00","456.50","31.48M","0.87%"
"2020年11月12日","458.00","463.00","463.50","457.50","40.41M","0.22%"
"2020年11月11日","457.00","448.50","457.00","448.50","36.94M","1.33%"
"2020年11月10日","451.00","452.00","454.50","448.50","35.26M","-1.64%"
"2020年11月9日","458.50","458.00","460.00","454.00","39.57M","1.33%"
"2020年11月6日","452.50","455.00","455.50","450.00","32.64M","0.33%"
"2020年11月5日","451.00","451.50","451.50","445.50","35.06M","0.22%"
"2020年11月4日","450.00","444.50","451.50","443.00","37.84M","2.04%"
"2020年11月3日","441.00","439.50","443.00","438.00","30.55M","1.26%"
"2020年11月2日","435.50","433.00","435.50","428.00","34.19M","0.81%"
"2020年10月30日","432.00","437.00","437.00","432.00","49.77M","-1.14%"
"2020年10月29日","437.00","436.50","439.50","435.50","42.33M","-1.58%"
"2020年10月28日","444.00","445.00","447.00","443.00","25.52M","-0.67%"
"2020年10月27日","447.00","447.50","448.50","445.50","20.67M","-0.67%"
"2020年10月26日","450.00","455.00","455.00","450.00","15.33M","-0.44%"
"2020年10月23日","452.00","458.00","458.00","451.50","18.78M","-0.66%"
"2020年10月22日","455.00","450.00","455.00","449.50","23.44M","0.44%"
"2020年10月21日","453.00","453.50","456.00","451.00","28.06M","0.44%"
"2020年10月20日","451.00","455.50","457.00","451.00","25.21M","-1.42%"
"2020年10月19日","457.50","453.00","457.50","451.00","34.47M","1.89%"
"2020年10月16日","449.00","451.00","456.00","448.50","48.27M","-0.88%"
"2020年10月15日","453.00","456.00","456.50","450.00","47.78M","-1.31%"
"2020年10月14日","459.00","460.50","461.00","457.00","40.81M","-0.65%"
"2020年10月13日","462.00","465.00","465.00","456.50","45.75M","0.43%"
"2020年10月12日","460.00","458.00","462.00","457.50","64.72M","1.55%"
"2020年10月8日","453.00","450.00","454.00","448.50","60.85M","2.26%"
"2020年10月7日","443.00","435.00","445.00","435.00","42.93M","0.80%"
"2020年10月6日","439.50","441.50","442.00","437.50","35.78M","1.62%"
"2020年10月5日","432.50","438.00","438.00","431.50","32.95M","-0.12%"
"2020年9月30日","433.00","430.50","435.00","430.50","28.86M","0.46%"
"2020年9月29日","431.00","432.50","435.00","428.00","32.23M","-0.12%"
"2020年9月28日","431.50","427.00","431.50","424.50","34.16M","1.77%"
"2020年9月25日","424.00","427.00","428.00","421.00","41.26M","0.24%"
"2020年9月24日","423.00","425.50","429.00","423.00","79.81M","-2.42%"
"2020年9月23日","433.50","436.00","438.50","432.00","45.71M","-0.80%"
"2020年9月22日","437.00","440.00","441.00","436.00","36.13M","-0.68%"
"2020年9月21日","440.00","443.50","450.00","440.00","39.46M","-0.90%"
"2020年9月18日","444.00","447.00","449.50","443.00","53.00M","-1.00%"
"2020年9月17日","448.50","453.00","455.00","446.50","42.06M","-2.07%"
"2020年9月16日","458.00","460.00","462.00","455.50","64.26M","2.92%"
"2020年9月15日","445.00","440.50","447.00","439.50","39.06M","0.91%"
"2020年9月14日","441.00","436.00","442.00","435.50","39.09M","1.03%"
"2020年9月11日","436.50","435.50","436.50","432.50","34.89M","0.34%"
"2020年9月10日","435.00","432.50","435.00","430.50","35.10M","1.87%"
"2020年9月9日","427.00","425.00","428.00","423.00","40.55M","-0.93%"
"2020年9月8日","431.00","428.00","433.00","427.50","23.71M","1.17%"
"2020年9月7日","426.00","428.00","432.50","425.00","32.02M","-0.70%"
"2020年9月4日","429.00","427.00","432.50","427.00","51.35M","-1.61%"
"2020年9月3日","436.00","439.50","439.50","433.50","34.95M","0.69%"
"2020年9月2日","433.00","441.00","441.00","430.50","34.87M","-0.46%"
"2020年9月1日","435.00","430.00","435.00","428.00","37.43M","1.99%"
"2020年8月31日","426.50","437.00","439.50","426.50","81.48M","-1.95%"
"2020年8月28日","435.00","440.00","440.50","431.00","57.04M","-2.03%"
"2020年8月27日","444.00","448.00","453.50","444.00","53.07M","0.45%"
"2020年8月26日","442.00","435.50","442.00","435.00","39.24M","1.73%"
"2020年8月25日","434.50","433.50","436.00","430.50","35.98M","1.52%"
"2020年8月24日","428.00","427.50","434.50","425.00","48.38M","0.82%"
"2020年8月21日","424.50","421.50","427.00","420.00","41.96M","2.29%"
"2020年8月20日","415.00","427.00","427.50","401.00","75.16M","-2.92%"
"2020年8月19日","427.50","436.00","436.50","427.50","31.49M","-1.27%"
"2020年8月18日","433.00","440.00","440.50","432.00","41.64M","-0.46%"
"2020年8月17日","435.00","427.00","435.00","425.50","34.14M","1.87%"
"2020年8月14日","427.00","424.00","428.00","423.00","24.26M","-0.47%"
"2020年8月13日","429.00","428.00","429.00","424.50","44.35M","2.39%"
"2020年8月12日","419.00","422.00","423.50","419.00","52.14M","-2.33%"
"2020年8月11日","429.00","432.00","435.00","429.00","34.55M","-1.49%"
"2020年8月10日","435.50","427.50","437.50","427.50","36.07M","0.58%"
"2020年8月7日","433.00","433.50","434.00","428.00","37.61M","-0.46%"
"2020年8月6日","435.00","437.50","438.00","431.00","41.03M","1.40%"
"2020年8月5日","429.00","430.50","433.50","426.00","47.22M","0.82%"
"2020年8月4日","425.50","421.50","425.50","418.50","41.22M","2.28%"
"2020年8月3日","416.00","420.50","424.00","415.00","76.43M","-2.23%"
"2020年7月31日","425.50","426.00","432.00","425.50","50.48M","-1.96%"
"2020年7月30日","434.00","436.50","441.00","428.50","69.29M","2.84%"
"2020年7月29日","422.00","428.00","431.50","419.50","85.66M","-2.99%"
"2020年7月28日","435.00","464.00","466.50","428.50","166.31M","2.47%"
"2020年7月27日","424.50","420.50","424.50","416.50","99.33M","9.97%"
"2020年7月24日","386.00","390.00","395.00","382.00","90.99M","1.18%"
"2020年7月23日","381.50","382.00","383.00","379.00","45.21M","-0.65%"
"2020年7月22日","384.00","381.00","386.00","379.00","43.76M","0.26%"
"2020年7月21日","383.00","372.50","387.00","371.50","64.22M","4.64%"
"2020年7月20日","366.00","370.00","370.00","362.50","42.77M","-0.27%"
"2020年7月17日","367.00","361.00","369.00","360.00","66.40M","2.66%"
"2020年7月16日","357.50","359.00","361.00","353.50","68.22M","-1.52%"
"2020年7月15日","363.00","366.00","370.00","361.00","73.44M","-0.14%"
"2020年7月14日","363.50","355.00","364.00","354.50","61.76M","2.54%"
"2020年7月13日","354.50","351.00","354.50","350.50","48.07M","1.72%"
"2020年7月10日","348.50","352.50","353.00","345.50","60.90M","1.01%"
"2020年7月9日","345.00","346.00","347.00","343.00","35.52M","1.17%"
"2020年7月8日","341.00","337.50","342.50","337.50","30.72M","0.74%"
"2020年7月7日","338.50","343.50","346.00","338.00","59.05M","0.15%"
"2020年7月6日","338.00","332.50","338.00","332.00","57.26M","2.58%"
"2020年7月3日","329.50","327.00","330.50","326.50","55.66M","2.33%"
"2020年7月2日","322.00","319.00","322.00","318.00","34.53M","1.42%"
"2020年7月1日","317.50","315.00","318.00","314.00","29.53M","1.44%"
"2020年6月30日","313.00","313.50","314.00","311.00","48.99M","0.32%"
"2020年6月29日","312.00","314.00","315.00","310.00","56.58M","-1.73%"
"2020年6月24日","317.50","319.00","320.00","316.00","55.46M","0.79%"
"2020年6月23日","315.00","316.00","316.50","312.50","41.30M","0.96%"
"2020年6月22日","312.00","314.50","316.50","312.00","37.37M","-0.79%"
"2020年6月19日","314.50","314.00","314.50","312.00","48.13M","0.00%"
"2020年6月18日","314.50","314.50","315.00","313.00","29.04M","-0.16%"
"2020年6月17日","315.00","316.50","317.00","313.50","34.52M","0.00%"
"2020年6月16日","315.00","317.00","317.00","314.00","40.73M","1.78%"
"2020年6月15日","309.50","316.00","317.50","308.50","51.03M","-2.06%"
"2020年6月12日","316.00","313.00","317.50","312.50","46.97M","-1.40%"
"2020年6月11日","320.50","325.50","327.00","318.50","50.10M","-0.62%"
"2020年6月10日","322.50","319.00","324.00","318.00","39.98M","1.10%"
"2020年6月9日","319.00","316.50","319.00","314.00","36.42M","0.31%"
"2020年6月8日","318.00","316.00","319.00","315.00","50.30M","2.09%"
"2020年6月5日","311.50","308.50","312.00","308.00","44.08M","1.80%"
"2020年6月4日","306.00","305.00","306.00","304.00","46.57M","1.66%"
"2020年6月3日","301.00","300.00","301.00","298.00","65.18M","1.52%"
"2020年6月2日","296.50","296.00","297.50","296.00","24.77M","0.34%"
"2020年6月1日","295.50","294.00","296.50","293.50","35.81M","1.20%"
"2020年5月29日","292.00","292.00","292.50","290.00","96.61M","-0.68%"
"2020年5月28日","294.00","298.50","298.50","293.00","28.44M","-0.84%"
"2020年5月27日","296.50","297.00","298.00","295.50","23.38M","0.34%"
"2020年5月26日","295.50","295.00","297.50","293.50","33.86M","1.20%"
"2020年5月25日","292.00","290.50","293.00","288.50","26.80M","0.00%"
"2020年5月22日","292.00","294.50","295.00","291.00","41.14M","-1.85%"
"2020年5月21日","297.50","296.00","298.00","295.00","31.00M","1.19%"
"2020年5月20日","294.00","293.00","294.00","291.00","32.68M","0.86%"
"2020年5月19日","291.50","294.00","294.00","291.50","51.25M","0.52%"
"2020年5月18日","290.00","291.00","293.50","290.00","84.99M","-2.68%"
"2020年5月15日","298.00","297.50","298.50","294.50","44.30M","1.71%"
"2020年5月14日","293.00","293.00","295.00","292.50","34.32M","-1.35%"
"2020年5月13日","297.00","293.00","297.00","292.50","26.16M","0.68%"
"2020年5月12日","295.00","297.50","298.50","295.00","52.49M","-1.99%"
"2020年5月11日","301.00","300.00","301.50","298.50","32.38M","1.18%"
"2020年5月8日","297.50","300.00","300.00","296.00","35.61M","0.00%"
"2020年5月7日","297.50","294.50","299.00","294.50","28.02M","0.51%"
"2020年5月6日","296.00","294.50","296.00","292.50","35.70M","0.17%"
"2020年5月5日","295.50","296.50","298.00","295.00","23.99M","0.17%"
"2020年5月4日","295.00","294.50","296.50","294.00","72.25M","-3.12%"
"2020年4月30日","304.50","302.00","305.00","301.50","58.44M","1.84%"
"2020年4月29日","299.00","299.00","301.50","298.00","46.25M","0.84%"
"2020年4月28日","296.50","298.50","298.50","294.50","37.62M","-0.50%"
"2020年4月27日","298.00","298.00","298.50","296.00","38.49M","1.36%"
"2020年4月24日","294.00","295.50","297.00","294.00","26.47M","-0.51%"
"2020年4月23日","295.50","300.00","300.00","294.00","39.98M","0.51%"
"2020年4月22日","294.00","294.50","295.00","290.50","43.57M","-0.34%"
"2020年4月21日","295.00","300.50","301.50","293.50","61.95M","-2.96%"
"2020年4月20日","304.00","308.00","309.00","302.50","44.59M","-0.82%"
"2020年4月17日","306.50","303.50","308.50","300.50","117.45M","6.98%"
"2020年4月16日","286.50","283.00","288.50","283.00","48.26M","-0.35%"
"2020年4月15日","287.50","287.00","288.50","286.00","58.56M","0.88%"
"2020年4月14日","285.00","281.00","285.50","280.00","50.20M","2.33%"
"2020年4月13日","278.50","278.50","281.50","278.50","22.20M","-0.36%"
"2020年4月10日","279.50","280.00","282.00","279.00","28.21M","-1.24%"